"GEN","REP","Yield","DryMatter","Carotenoid","RootShapeScore","StorageScore"
"SP001",1,53.1103261858243,29.3516034978241,21.8813757119246,8.51259996076556,6.9623723068648
"SP001",2,-4.56204466651642,38.9339947617514,23.2411267489928,5.35333532324366,3.48786326888304
"SP002",1,50.1223066666299,29.0711594673447,2.51997316596977,3.2439134271275,4.96456170786551
"SP002",2,41.2847549715739,25.4028857464908,2.93296863486394,5.31164980358607,8.02176256657296
"SP003",1,28.6952755727844,31.3754908137769,5.20299760608665,2.06000015085131,8.04883388862094
"SP003",2,-8.53578257331007,40.797257033795,7.73275890511835,2.28008597452315,6.37187763381098
"SP004",1,11.2622041010756,20.1292466444231,21.8145971056161,3.48417592312505,3.34881609209962
"SP004",2,18.0394525728575,27.5765340972364,14.5660340868389,4.49950360678624,3.67081931251998
"SP005",1,39.1298142258624,34.3382748038838,-3.29659143867467,6.37116687671867,2.14185677939853
"SP005",2,37.8554962766274,28.3111597977651,-8.57298748854686,3.00172143163597,5.76168491180344
"SP006",1,42.8380114300826,27.4502565230973,2.50781922708015,2.96397238024296,1.91644519749915
"SP006",2,38.401575542626,36.1232384453204,2.99206999910381,5.22924824477018,2.08607814331147
"SP007",1,45.0990554324013,34.115780750085,15.726629949184,5.16105867098816,9.99811595600675
"SP007",2,37.4314281740836,30.9951798032315,7.8661626146433,8.8683502926546,8.50476297058702
"SP008",1,32.8814106187056,27.977215290313,29.1690220648509,10.4399587231604,3.05852867772891
"SP008",2,26.2740635375165,21.5094777686295,19.6715292711053,6.7172614707657,3.43163538006502
"SP009",1,20.6764373985249,27.7915275838304,3.86242779871113,3.35697831046983,4.66743466247501
"SP009",2,11.1543734331396,40.2002001184242,24.6652992601615,2.27012841493589,1.47193189513403
"SP010",1,40.4709681985957,29.675373834224,-3.55276817379933,6.9148025695331,3.8004680227146
"SP010",2,29.5628239081228,20.0981350856879,16.1870767619391,10.0840479661485,4.47840253238414
"SP011",1,26.2580975630981,37.453409447455,-11.2147200206773,4.35277247523209,3.90689819193508
"SP011",2,4.64865335964328,36.0866533022574,-2.06120430552605,6.62570588657709,5.05765982607397
"SP012",1,9.8969876949177,25.0611362640429,-4.60325489198621,2.53372244433505,8.21054731022115
"SP012",2,-6.87972537190655,30.8530392909734,6.86977367110037,6.24823625941767,3.96421472101096
"SP013",1,-8.4311537025036,25.2585398615889,21.1576981290504,1.4029344559793,7.16328849575802
"SP013",2,34.606624233087,26.8404249418923,21.0656289038623,1.07578856728695,6.96393256245394
"SP014",1,62.4873906296944,29.5177411795549,-15.9534067965761,2.12232084839854,4.40481268597457
"SP014",2,53.8452456394839,34.2390833433943,11.9686892501772,8.96514867186816,5.05764238557357
"SP015",1,3.49459188483603,30.0238638927632,23.5417783112996,4.79788510084288,3.03080121012143
"SP015",2,36.3207686742556,27.0810259117922,17.7609230699591,5.89216979087562,2.35449479119895
"SP016",1,32.2231466626212,33.0313165484951,18.9674419413556,6.58110570093278,6.87330001368077
"SP016",2,21.4777059612558,30.0853538153573,9.61500854614711,3.5867746064983,4.10074739535677
